,pergunta,categoria,resposta
0,"o no rosto, Tenho fazer? devo espinhas que",dermatologia,"Você pode usar cremes específicos para acne e evitar apertar as espinhas. Se necessário, consulte um dermatologista."
1,"fazer? de posso cabeça, dor que muita Estou o com",neurologia,"Se a dor de cabeça for muito forte e persistir, pode ser sinal de enxaqueca ou outro problema. Tente descansar em um local tranquilo e tomar um analgésico, mas se persistir, consulte um médico."
2,"muita fazer? Estou o que dor cabeça, de posso com",neurologia,"Se a dor de cabeça for muito forte e persistir, pode ser sinal de enxaqueca ou outro problema. Tente descansar em um local tranquilo e tomar um analgésico, mas se persistir, consulte um médico."
3,"com o dor muita que Estou fazer? de posso cabeça,",neurologia,"Se a dor de cabeça for muito forte e persistir, pode ser sinal de enxaqueca ou outro problema. Tente descansar em um local tranquilo e tomar um analgésico, mas se persistir, consulte um médico."
4,uma posso Como agendar consulta?,consultas,Você pode agendar sua consulta através do nosso portal online ou entrando em contato com a recepção.
5,dor Como costas é se nas a grave? saber,ortopedia,"A dor nas costas pode ser grave se for acompanhada de dormência, fraqueza nas pernas ou dificuldade de movimentação. Caso esses sintomas apareçam, procure um médico imediatamente."
6,Vocês saúde aceitam de X? plano,convenios,"Sim, aceitamos o plano de saúde X. Você pode consultar as coberturas diretamente com nossa recepção."
7,X? Vocês aceitam de plano saúde,convenios,"Sim, aceitamos o plano de saúde X. Você pode consultar as coberturas diretamente com nossa recepção."
8,"o que Estou com cabeça, dor fazer? muita posso de",neurologia,"Se a dor de cabeça for muito forte e persistir, pode ser sinal de enxaqueca ou outro problema. Tente descansar em um local tranquilo e tomar um analgésico, mas se persistir, consulte um médico."
9,sintomas Quais infarto? de os um,cardiologia,"Os sintomas incluem dor no peito, falta de ar, dor nas costas e suor excessivo."
10,"o e corpo, Estou com que no alta dor ser? febre pode",gripe,"Esses sintomas podem ser causados por várias condições, como a gripe ou até a Covid-19. Você já teve contato com alguém que testou positivo para Covid-19 recentemente?"
11,posso acne? Como tratar,dermatologia,"A acne pode ser tratada com medicamentos tópicos, como peróxido de benzoíla ou cremes com retinoides."
12,plano saúde X? de aceitam Vocês,convenios,"Sim, aceitamos o plano de saúde X. Você pode consultar as coberturas diretamente com nossa recepção."
13,dieta melhor a para peso? perder Qual,nutricao,"Uma dieta balanceada, com controle de calorias e aumento do consumo de vegetais, é eficaz para perda de peso."
14,para emagrecer? Devo carboidratos cortar,nutricao,Não é necessário cortar carboidratos totalmente. O importante é escolher carboidratos saudáveis e consumi-los com moderação.
15,Quais para do coração? checar exames fazer a devo saúde,cardiologia,"Os exames mais comuns incluem o eletrocardiograma (ECG), ecocardiograma e testes de esforço."
16,"ser pode peito infarto? falta isso no dor e Estou com de um ar,",cardiologia,"Sim, esses podem ser sintomas de infarto. Procure ajuda médica imediatamente."
17,"o ser? que Estou costas, com pode dor nas",ortopedia,"A dor nas costas pode ser causada por tensão muscular, problemas na coluna ou até uma hérnia. É importante procurar um médico para diagnóstico."
18,vocês de aceitam? saúde planos Quais,convenios,"Aceitamos planos como Amil, Bradesco Saúde e Unimed. Consulte as condições com a recepção."
19,agendar Como uma consulta? posso,consultas,Você pode agendar sua consulta através do nosso portal online ou entrando em contato com a recepção.
20,Como posso acne? tratar,dermatologia,"A acne pode ser tratada com medicamentos tópicos, como peróxido de benzoíla ou cremes com retinoides."
21,uma agendar consulta? Como posso,consultas,Você pode agendar sua consulta através do nosso portal online ou entrando em contato com a recepção.
22,"fazer? dor cabeça, o que muita com de Estou posso",neurologia,"Se a dor de cabeça for muito forte e persistir, pode ser sinal de enxaqueca ou outro problema. Tente descansar em um local tranquilo e tomar um analgésico, mas se persistir, consulte um médico."
23,a peso? dieta melhor Qual perder para,nutricao,"Uma dieta balanceada, com controle de calorias e aumento do consumo de vegetais, é eficaz para perda de peso."
24,carboidratos Devo cortar para emagrecer?,nutricao,Não é necessário cortar carboidratos totalmente. O importante é escolher carboidratos saudáveis e consumi-los com moderação.
25,vocês saúde aceitam? planos de Quais,convenios,"Aceitamos planos como Amil, Bradesco Saúde e Unimed. Consulte as condições com a recepção."
26,saúde plano de aceitam X? Vocês,convenios,"Sim, aceitamos o plano de saúde X. Você pode consultar as coberturas diretamente com nossa recepção."
27,"Tenho rosto, o devo que fazer? no espinhas",dermatologia,"Você pode usar cremes específicos para acne e evitar apertar as espinhas. Se necessário, consulte um dermatologista."
28,"Estou que costas, pode com nas o dor ser?",ortopedia,"A dor nas costas pode ser causada por tensão muscular, problemas na coluna ou até uma hérnia. É importante procurar um médico para diagnóstico."
29,são os depressão? sintomas da Quais,saude_mental,"Os sintomas incluem tristeza constante, dificuldade de concentração, insônia ou sono excessivo, e perda de apetite."
30,nas o dor para tratamento melhor Qual costas?,ortopedia,"O tratamento pode incluir fisioterapia, medicamentos anti-inflamatórios e, em alguns casos, cirurgia."
31,Quais de sintomas um infarto? os,cardiologia,"Os sintomas incluem dor no peito, falta de ar, dor nas costas e suor excessivo."
32,consulta? Preciso exame a levar para algum,consultas,"Recomendamos que leve os exames mais recentes, caso tenha algum, para facilitar a avaliação do médico."
33,Vocês de plano X? saúde aceitam,convenios,"Sim, aceitamos o plano de saúde X. Você pode consultar as coberturas diretamente com nossa recepção."
34,"que muita dor Estou o com fazer? de posso cabeça,",neurologia,"Se a dor de cabeça for muito forte e persistir, pode ser sinal de enxaqueca ou outro problema. Tente descansar em um local tranquilo e tomar um analgésico, mas se persistir, consulte um médico."
35,consulta? Como posso agendar uma,consultas,Você pode agendar sua consulta através do nosso portal online ou entrando em contato com a recepção.
36,para exames devo fazer do coração? saúde a Quais checar,cardiologia,"Os exames mais comuns incluem o eletrocardiograma (ECG), ecocardiograma e testes de esforço."
37,uma consulta? agendar Como posso,consultas,Você pode agendar sua consulta através do nosso portal online ou entrando em contato com a recepção.
38,Vocês saúde de plano aceitam X?,convenios,"Sim, aceitamos o plano de saúde X. Você pode consultar as coberturas diretamente com nossa recepção."
39,perder a melhor dieta peso? para Qual,nutricao,"Uma dieta balanceada, com controle de calorias e aumento do consumo de vegetais, é eficaz para perda de peso."
40,são os gripe? Quais da sintomas,gripe,"Os sintomas da gripe incluem febre, dor no corpo, calafrios, dor de garganta e tosse."
41,"fazer? o rosto, devo espinhas que Tenho no",dermatologia,"Você pode usar cremes específicos para acne e evitar apertar as espinhas. Se necessário, consulte um dermatologista."
42,é O que depressão?,saude_mental,"A depressão é um transtorno mental caracterizado por sentimentos persistentes de tristeza, perda de interesse nas atividades diárias e cansaço extremo."
43,"de Estou que o cabeça, com fazer? dor posso muita",neurologia,"Se a dor de cabeça for muito forte e persistir, pode ser sinal de enxaqueca ou outro problema. Tente descansar em um local tranquilo e tomar um analgésico, mas se persistir, consulte um médico."
44,é grave? nas dor costas saber Como a se,ortopedia,"A dor nas costas pode ser grave se for acompanhada de dormência, fraqueza nas pernas ou dificuldade de movimentação. Caso esses sintomas apareçam, procure um médico imediatamente."
45,que é depressão? O,saude_mental,"A depressão é um transtorno mental caracterizado por sentimentos persistentes de tristeza, perda de interesse nas atividades diárias e cansaço extremo."
46,uma agendar consulta? posso Como,consultas,Você pode agendar sua consulta através do nosso portal online ou entrando em contato com a recepção.
47,"infarto? com peito de no pode um Estou falta ser isso dor e ar,",cardiologia,"Sim, esses podem ser sintomas de infarto. Procure ajuda médica imediatamente."
48,Qual dieta a para peso? melhor perder,nutricao,"Uma dieta balanceada, com controle de calorias e aumento do consumo de vegetais, é eficaz para perda de peso."
49,melhor peso? a para perder dieta Qual,nutricao,"Uma dieta balanceada, com controle de calorias e aumento do consumo de vegetais, é eficaz para perda de peso."
50,"dor é gripe? e corpo, febre Estou no com",gripe,"Esses sintomas são comuns na gripe. Se você estiver com tosse e dor no corpo também, pode ser a gripe."
51,"com Estou ser? costas, que nas o pode dor",ortopedia,"A dor nas costas pode ser causada por tensão muscular, problemas na coluna ou até uma hérnia. É importante procurar um médico para diagnóstico."
52,Devo emagrecer? cortar para carboidratos,nutricao,Não é necessário cortar carboidratos totalmente. O importante é escolher carboidratos saudáveis e consumi-los com moderação.
53,posso Como acne? tratar,dermatologia,"A acne pode ser tratada com medicamentos tópicos, como peróxido de benzoíla ou cremes com retinoides."
54,"um ar, peito infarto? isso de ser e Estou no com dor falta pode",cardiologia,"Sim, esses podem ser sintomas de infarto. Procure ajuda médica imediatamente."
55,"devo rosto, espinhas o no fazer? que Tenho",dermatologia,"Você pode usar cremes específicos para acne e evitar apertar as espinhas. Se necessário, consulte um dermatologista."
56,um infarto? os Quais sintomas de,cardiologia,"Os sintomas incluem dor no peito, falta de ar, dor nas costas e suor excessivo."
57,vocês aceitam? de planos Quais saúde,convenios,"Aceitamos planos como Amil, Bradesco Saúde e Unimed. Consulte as condições com a recepção."
58,cortar Devo emagrecer? para carboidratos,nutricao,Não é necessário cortar carboidratos totalmente. O importante é escolher carboidratos saudáveis e consumi-los com moderação.
59,aceitam? de vocês Quais planos saúde,convenios,"Aceitamos planos como Amil, Bradesco Saúde e Unimed. Consulte as condições com a recepção."
60,"alta dor febre com Estou pode o corpo, que ser? e no",gripe,"Esses sintomas podem ser causados por várias condições, como a gripe ou até a Covid-19. Você já teve contato com alguém que testou positivo para Covid-19 recentemente?"
61,a algum para levar consulta? Preciso exame,consultas,"Recomendamos que leve os exames mais recentes, caso tenha algum, para facilitar a avaliação do médico."
62,Qual costas? o para nas dor melhor tratamento,ortopedia,"O tratamento pode incluir fisioterapia, medicamentos anti-inflamatórios e, em alguns casos, cirurgia."
63,a perder dieta Qual peso? melhor para,nutricao,"Uma dieta balanceada, com controle de calorias e aumento do consumo de vegetais, é eficaz para perda de peso."
64,de planos saúde vocês aceitam? Quais,convenios,"Aceitamos planos como Amil, Bradesco Saúde e Unimed. Consulte as condições com a recepção."
65,"no fazer? o que Tenho espinhas rosto, devo",dermatologia,"Você pode usar cremes específicos para acne e evitar apertar as espinhas. Se necessário, consulte um dermatologista."
66,os Quais depressão? da sintomas são,saude_mental,"Os sintomas incluem tristeza constante, dificuldade de concentração, insônia ou sono excessivo, e perda de apetite."
67,"Estou fazer? muita o cabeça, que posso de dor com",neurologia,"Se a dor de cabeça for muito forte e persistir, pode ser sinal de enxaqueca ou outro problema. Tente descansar em um local tranquilo e tomar um analgésico, mas se persistir, consulte um médico."
68,"Estou ser? nas dor costas, com o pode que",ortopedia,"A dor nas costas pode ser causada por tensão muscular, problemas na coluna ou até uma hérnia. É importante procurar um médico para diagnóstico."
69,"que Tenho devo fazer? espinhas o no rosto,",dermatologia,"Você pode usar cremes específicos para acne e evitar apertar as espinhas. Se necessário, consulte um dermatologista."
70,alto? saber se posso colesterol Como meu está,cardiologia,"Você pode verificar seu colesterol através de um exame de sangue chamado lipidograma, que mede os níveis de colesterol e triglicerídeos."
71,acne? posso Como tratar,dermatologia,"A acne pode ser tratada com medicamentos tópicos, como peróxido de benzoíla ou cremes com retinoides."
72,Como consulta? posso uma agendar,consultas,Você pode agendar sua consulta através do nosso portal online ou entrando em contato com a recepção.
73,posso Como consulta? uma agendar,consultas,Você pode agendar sua consulta através do nosso portal online ou entrando em contato com a recepção.
74,"com é corpo, Estou no e febre gripe? dor",gripe,"Esses sintomas são comuns na gripe. Se você estiver com tosse e dor no corpo também, pode ser a gripe."
75,cortar para Devo carboidratos emagrecer?,nutricao,Não é necessário cortar carboidratos totalmente. O importante é escolher carboidratos saudáveis e consumi-los com moderação.
76,Quais são os depressão? sintomas da,saude_mental,"Os sintomas incluem tristeza constante, dificuldade de concentração, insônia ou sono excessivo, e perda de apetite."
77,"espinhas o devo no fazer? Tenho rosto, que",dermatologia,"Você pode usar cremes específicos para acne e evitar apertar as espinhas. Se necessário, consulte um dermatologista."
