CustomerID,Recencia,Frequencia,Valor,Recencia_Score,Frequencia_Score,Valor_Score,Total_Score,Segmento
12346.0,326,2,0.0,1,1,1,3,Segmento 4: Clientes inativos
12347.0,2,182,4310.0,5,5,5,15,Segmento 1: Clientes mais valiosos
12348.0,75,31,1797.24,2,3,4,9,Segmento 2: Clientes potenciais
12349.0,19,73,1757.55,4,4,4,12,Segmento 2: Clientes potenciais
12350.0,310,17,334.4,1,2,2,5,Segmento 3: Clientes regulares
12352.0,36,95,1545.41,3,4,4,11,Segmento 2: Clientes potenciais
12353.0,204,4,89.0,1,1,1,3,Segmento 4: Clientes inativos
12354.0,232,58,1079.4,1,3,4,8,Segmento 3: Clientes regulares
12355.0,214,13,459.4,1,1,2,4,Segmento 4: Clientes inativos
12356.0,23,59,2811.43,4,4,5,13,Segmento 1: Clientes mais valiosos
12357.0,33,131,6207.67,3,5,5,13,Segmento 1: Clientes mais valiosos
12358.0,2,19,1168.06,5,2,4,11,Segmento 2: Clientes potenciais
12359.0,8,254,6245.53,5,5,5,15,Segmento 1: Clientes mais valiosos
12360.0,52,129,2662.06,3,5,5,13,Segmento 1: Clientes mais valiosos
12361.0,287,10,189.9,1,1,1,3,Segmento 4: Clientes inativos
12362.0,3,274,5154.58,5,5,5,15,Segmento 1: Clientes mais valiosos
12363.0,110,23,552.0,2,2,3,7,Segmento 3: Clientes regulares
12364.0,8,85,1313.1,5,4,4,13,Segmento 1: Clientes mais valiosos
12365.0,291,23,320.69,1,2,2,5,Segmento 3: Clientes regulares
12367.0,4,11,168.9,5,1,1,7,Segmento 3: Clientes regulares
12370.0,51,167,3545.69,3,5,5,13,Segmento 1: Clientes mais valiosos
12371.0,45,63,1887.96,3,4,4,11,Segmento 2: Clientes potenciais
12372.0,72,52,1298.04,2,3,4,9,Segmento 2: Clientes potenciais
12373.0,311,14,364.6,1,1,2,4,Segmento 4: Clientes inativos
12374.0,25,33,742.9300000000001,4,3,3,10,Segmento 2: Clientes potenciais
12375.0,3,18,455.42,5,2,2,9,Segmento 2: Clientes potenciais
12377.0,315,77,1628.12,1,4,4,9,Segmento 2: Clientes potenciais
12378.0,130,219,4008.62,2,5,5,12,Segmento 2: Clientes potenciais
12379.0,82,41,850.29,2,3,3,8,Segmento 3: Clientes regulares
12380.0,22,105,2720.56,4,4,5,13,Segmento 1: Clientes mais valiosos
12381.0,5,91,1803.96,5,4,4,13,Segmento 1: Clientes mais valiosos
12383.0,185,100,1839.31,1,4,4,9,Segmento 2: Clientes potenciais
12384.0,29,30,566.16,4,3,3,10,Segmento 2: Clientes potenciais
12386.0,338,10,401.9,1,1,2,4,Segmento 4: Clientes inativos
12388.0,16,100,2780.66,4,4,5,13,Segmento 1: Clientes mais valiosos
12390.0,80,32,549.84,2,3,3,8,Segmento 3: Clientes regulares
12391.0,22,100,460.89,4,4,2,10,Segmento 2: Clientes potenciais
12393.0,72,64,1582.6000000000001,2,4,4,10,Segmento 2: Clientes potenciais
12394.0,64,27,1272.48,3,2,4,9,Segmento 2: Clientes potenciais
12395.0,16,159,2998.28,4,5,5,14,Segmento 1: Clientes mais valiosos
12397.0,36,126,2409.9,3,5,5,13,Segmento 1: Clientes mais valiosos
12398.0,46,85,1635.6599999999999,3,4,4,11,Segmento 2: Clientes potenciais
12399.0,119,59,1108.65,2,4,4,10,Segmento 2: Clientes potenciais
12401.0,303,5,84.3,1,1,1,3,Segmento 4: Clientes inativos
12402.0,323,11,225.6,1,1,1,3,Segmento 4: Clientes inativos
12403.0,50,6,409.7,3,1,2,6,Segmento 3: Clientes regulares
12405.0,149,54,1710.39,2,3,4,9,Segmento 2: Clientes potenciais
12406.0,22,108,3280.75,4,4,5,13,Segmento 1: Clientes mais valiosos
12407.0,50,77,1708.1200000000001,3,4,4,11,Segmento 2: Clientes potenciais
12408.0,33,113,2842.57,3,4,5,12,Segmento 2: Clientes potenciais
12409.0,79,114,11056.93,2,4,5,11,Segmento 2: Clientes potenciais
12410.0,301,28,681.0799999999999,1,2,3,6,Segmento 3: Clientes regulares
12412.0,75,61,1226.88,2,4,4,10,Segmento 2: Clientes potenciais
12413.0,67,40,694.15,3,3,3,9,Segmento 2: Clientes potenciais
12414.0,217,18,562.41,1,2,3,6,Segmento 3: Clientes regulares
12415.0,24,778,123725.45,4,5,5,14,Segmento 1: Clientes mais valiosos
12417.0,3,198,3578.8,5,5,5,15,Segmento 1: Clientes mais valiosos
